timestamp,amplitude
1774605288.5798638,49
1774605288.5960042,49
1774605288.6113963,44
1774605288.6273649,37
1774605288.644011,31
1774605288.6600494,25
1774605288.6759953,22
1774605288.692019,20
1774605288.7074761,18
1774605288.723678,21
1774605288.7400236,26
1774605288.7560132,31
1774605288.771505,37
1774605288.7880352,44
1774605288.804037,46
1774605288.8201816,48
1774605288.8360617,50
1774605288.8516798,50
1774605288.8677015,49
1774605288.883559,50
1774605288.9001775,47
1774605288.9161048,44
1774605288.9314702,42
1774605288.9480345,40
1774605288.9635444,40
1774605288.9795268,37
1774605288.9956317,36
1774605289.0120227,33
1774605289.0280688,30
1774605289.043412,25
1774605289.0600686,27
1774605289.0760522,25
1774605289.0920482,22
1774605289.1080525,21
1774605289.123495,22
1774605289.1394079,18
1774605289.1554515,17
1774605289.1719947,16
1774605289.1876192,18
1774605289.2037015,17
1774605289.2197034,17
1774605289.2360597,17
1774605289.251474,18
1774605289.2675476,16
1774605289.283502,15
1774605289.2996182,18
1774605289.3160465,18
1774605289.3315637,17
1774605289.3480818,18
1774605289.3639169,18
1774605289.379687,17
1774605289.395534,18
1774605289.4114232,18
1774605289.427384,17
1774605289.4433594,17
1774605289.4593623,18
1774605289.4752095,19
1774605289.4913266,19
1774605289.5075915,20
1774605289.523375,25
1774605289.5395067,33
1774605289.555503,39
1774605289.5714228,48
1774605289.5874796,56
1774605289.603645,61
1774605289.619471,60
1774605289.6353908,62
1774605289.6513288,62
1774605289.6674178,63
1774605289.6833959,61
1774605289.699481,61
1774605289.7156868,56
1774605289.7316415,50
1774605289.747505,42
1774605289.763628,36
1774605289.7794926,28
1774605289.7955115,24
1774605289.8113568,22
1774605289.8273635,21
1774605289.8434641,24
1774605289.859466,29
1774605289.8754983,34
1774605289.891358,37
1774605289.9072225,40
1774605289.9236119,40
1774605289.9396105,39
1774605289.9555438,41
1774605289.9715462,44
1774605289.9879682,46
1774605290.0040224,49
1774605290.0195112,49
1774605290.0358815,47
1774605290.052094,46
1774605290.0675707,46
1774605290.0836308,44
1774605290.09973,43
1774605290.1161647,45
1774605290.1321204,44
1774605290.1481214,41
1774605290.164129,39
1774605290.1801226,37
1774605290.1956167,32
1774605290.211536,29
1774605290.2281544,28
1774605290.243584,26
1774605290.2601013,24
1774605290.2755973,22
1774605290.2921166,21
1774605290.3081172,19
1774605290.3241417,19
1774605290.3397498,19
1774605290.3561373,20
1774605290.3721652,19
1774605290.387659,21
1774605290.40373,20
1774605290.419494,20
1774605290.4357643,20
1774605290.451645,22
1774605290.4674537,21
1774605290.4836214,21
1774605290.4996197,22
1774605290.5159733,22
1774605290.532318,21
1774605290.5481563,22
1774605290.5636888,22
1774605290.580163,22
1774605290.5959277,22
1774605290.6117733,21
1774605290.6278741,19
1774605290.6442778,18
1774605290.660212,18
1774605290.676146,17
1774605290.6922054,17
1774605290.7080512,18
1774605290.7236745,18
1774605290.739564,19
1774605290.7557702,19
1774605290.7721975,19
1774605290.7881508,21
1774605290.8041775,21
1774605290.8201904,19
1774605290.8356562,20
1774605290.8516994,19
1774605290.8676312,18
1774605290.8835926,17
1774605290.8996084,19
1774605290.9156792,18
1774605290.9318433,18
1774605290.9477148,18
1774605290.9635553,18
1774605290.979598,18
1774605290.9955828,18
1774605291.0116236,18
1774605291.0276687,18
1774605291.0442476,18
1774605291.0601575,18
1774605291.0762122,18
1774605291.0921926,18
1774605291.1077302,17
1774605291.1241734,18
1774605291.139786,20
1774605291.1561801,20
1774605291.1721933,21
1774605291.1876135,21
1774605291.2042043,21
1774605291.2198415,20
1774605291.2361822,20
1774605291.251776,20
1774605291.2676315,20
1774605291.2836592,20
1774605291.2997282,20
1774605291.315645,19
1774605291.3323052,19
1774605291.347718,19
1774605291.3637066,17
1774605291.3801956,17
1774605291.3957026,18
1774605291.4119506,18
1774605291.4281971,18
1774605291.443996,19
1774605291.4596925,19
1774605291.4762244,19
1774605291.4916818,19
1774605291.5081432,19
1774605291.5236602,18
1774605291.5397437,18
1774605291.555683,17
